,fixedacidity,volatileacidity,citricacidity,residualsugar,chlorides,freesulfurdioxide,totalsulfurdioxide,density,pH,sulphates,alchohol,quality
0,7,0,0,20,0,45,170,1,3,0,8,6
1,6,0,0,1,0,14,132,0,3,0,9,6
2,8,0,0,6,0,30,97,0,3,0,10,6
3,7,0,0,8,0,47,186,0,3,0,9,6
4,7,0,0,8,0,47,186,0,3,0,9,6
5,8,0,0,6,0,30,97,0,3,0,10,6
6,6,0,0,7,0,30,136,0,3,0,9,6
7,7,0,0,20,0,45,170,1,3,0,8,6
8,6,0,0,1,0,14,132,0,3,0,9,6
9,8,0,0,1,0,28,129,0,3,0,11,6
10,8,0,0,1,0,11,63,0,2,0,12,5
11,8,0,0,4,0,17,109,0,3,0,9,5
12,7,0,0,1,0,16,75,0,3,0,10,5
13,6,0,0,1,0,48,143,0,3,0,12,7
14,8,0,0,19,0,41,172,1,2,0,9,5
15,6,0,0,1,0,28,112,0,3,0,11,7
16,6,0,0,1,0,30,99,0,3,0,9,6
17,6,0,0,1,0,29,75,0,3,0,12,8
18,7,0,0,1,0,17,171,0,3,0,11,6
19,6,0,0,7,0,34,133,0,3,0,9,5
20,6,0,0,1,0,29,75,0,3,0,12,8
21,6,0,0,2,0,19,102,0,3,0,11,7
22,6,0,0,1,0,41,122,0,3,0,10,8
23,7,0,0,1,0,25,168,0,3,0,9,5
24,6,0,0,1,0,16,142,0,3,0,10,6
25,7,0,0,9,0,56,245,0,3,0,10,6
26,6,0,0,1,0,35,146,0,3,0,10,6
27,7,0,0,8,0,32,141,0,3,0,10,6
28,7,0,0,1,0,17,132,0,3,0,11,6
29,7,0,0,2,0,37,114,0,3,0,12,7
30,8,0,0,10,0,20,142,0,3,0,10,6
31,8,0,0,1,0,7,47,0,3,0,10,6
32,7,0,0,2,0,31,100,0,3,0,10,6
33,6,0,0,1,0,43,117,0,3,0,9,6
34,5,0,0,14,0,22,179,0,3,0,10,5
35,7,0,0,1,0,21,123,0,3,0,12,5
36,6,0,0,5,0,25,149,0,3,0,10,5
37,7,0,0,1,0,38,138,0,3,0,11,6
38,7,0,0,17,0,45,149,0,3,0,8,5
39,7,0,0,17,0,45,149,0,3,0,8,5
40,6,0,0,2,0,63,158,0,3,0,9,6
41,6,0,0,2,0,63,157,0,3,0,9,6
42,7,0,0,7,0,28,160,0,3,0,9,6
43,6,0,0,1,0,33,152,0,3,0,9,6
44,6,0,0,1,0,33,154,0,3,0,9,6
45,7,0,0,1,0,38,167,0,3,0,10,7
46,6,0,0,4,0,63,206,0,3,0,9,4
47,6,0,0,4,0,62,207,0,3,0,9,5
48,7,0,0,7,0,28,160,0,3,0,9,6
49,6,0,0,5,0,32,150,0,3,0,9,5
50,7,0,0,1,0,31,173,0,3,0,11,6
51,6,0,0,1,0,39,124,0,3,0,11,7
52,6,0,0,1,0,21,82,0,3,0,10,7
53,6,0,0,1,0,39,108,0,3,0,10,6
54,6,0,0,0,0,38,132,0,3,0,9,6
55,6,0,0,1,0,29,191,0,3,0,11,6
56,7,0,0,11,0,37,213,0,3,0,9,6
57,6,0,0,12,0,50,147,0,3,0,8,6
58,6,0,0,4,0,25,78,0,3,0,10,6
59,7,0,0,1,0,44,111,0,3,0,9,6
60,6,0,0,4,0,30,123,0,3,0,8,6
61,6,0,0,12,0,50,147,0,3,0,8,6
62,7,0,0,1,0,17,151,0,3,0,10,5
63,6,0,0,4,0,25,78,0,3,0,10,6
64,7,0,0,1,0,31,122,0,3,0,10,6
65,6,0,0,1,0,29,120,0,3,0,9,5
66,6,0,0,6,0,27,124,0,3,0,12,7
67,6,0,0,1,0,81,174,0,3,0,9,5
68,6,0,0,2,0,30,96,0,3,0,10,8
69,7,0,0,10,0,21,105,0,3,0,9,5
70,6,0,0,7,0,48,244,0,3,0,9,6
71,6,0,0,4,0,50,238,0,3,0,9,5
72,6,0,0,4,0,31,201,0,3,0,10,5
73,8,0,0,1,0,9,72,0,2,0,9,6
74,6,0,0,2,0,30,96,0,3,0,10,8
75,7,0,0,10,0,21,105,0,3,0,9,5
76,7,0,0,1,0,31,87,0,3,0,12,7
77,7,0,0,1,0,20,69,0,3,0,12,7
78,7,0,0,8,0,26,103,0,2,0,9,5
79,6,0,0,5,0,21,105,0,3,0,9,5
80,6,0,0,1,0,34,114,0,3,0,10,6
81,7,0,0,16,0,51,166,0,3,0,9,6
82,7,0,0,6,0,47,164,0,3,0,10,5
83,7,0,0,8,0,42,207,0,3,0,9,6
84,7,0,0,11,0,54,155,0,3,0,8,5
85,7,0,0,11,0,52,152,0,3,0,8,6
86,7,0,0,11,0,55,156,0,3,0,8,6
87,6,0,0,13,0,69,202,0,3,0,9,6
88,7,0,0,11,0,54,155,0,3,0,8,5
89,7,0,0,11,0,52,152,0,3,0,8,6
90,7,0,0,11,0,55,156,0,3,0,8,6
91,6,0,0,7,0,65,243,0,3,0,9,5
92,6,0,0,1,0,47,136,0,3,0,12,7
93,6,0,0,1,0,48,136,0,3,0,12,7
94,7,0,0,1,0,51,148,0,3,0,11,7
95,7,0,0,12,0,62,240,0,3,0,9,6
96,6,0,0,15,0,26,164,0,3,0,8,6
97,8,0,0,1,0,15,80,0,2,0,11,7
98,9,0,0,10,0,4,83,0,2,0,10,4
99,6,0,0,15,0,26,164,0,3,0,8,6
100,7,0,0,13,0,52,192,0,3,0,9,5
101,7,0,0,9,0,64,162,0,3,0,9,5
102,6,0,0,12,0,55,164,0,3,0,9,5
103,7,0,0,18,0,44,170,1,2,0,9,5
104,7,0,0,13,0,52,192,0,3,0,9,5
105,7,0,0,14,0,34,109,0,3,0,9,6
106,7,0,0,9,0,64,162,0,3,0,9,5
107,7,0,0,16,0,60,171,0,3,0,9,6
108,7,0,0,16,0,60,171,0,3,0,9,6
109,6,0,0,1,0,37,187,0,3,0,10,5
110,6,0,0,8,0,64,163,0,2,0,8,6
111,7,0,0,18,0,45,255,1,3,0,8,5
112,7,0,0,13,0,68,195,0,3,0,9,5
113,6,0,0,9,0,29,150,0,3,0,9,5
114,6,0,0,9,0,29,150,0,3,0,9,5
115,5,0,0,1,0,8,103,0,3,0,9,4
116,6,0,0,3,0,25,143,0,3,0,11,6
117,7,0,0,1,0,16,85,0,3,0,11,6
118,7,0,0,13,0,68,195,0,3,0,9,5
119,7,0,0,13,0,57,196,0,3,0,9,5
120,5,0,0,5,0,21,87,0,3,0,10,5
121,7,0,0,12,0,42,138,0,3,0,8,5
122,7,0,0,6,0,31,131,0,3,0,9,5
123,6,0,0,5,0,14,146,0,3,0,9,6
124,6,0,0,1,0,40,158,0,3,0,9,6
125,6,0,0,1,0,63,143,0,3,0,11,6
126,7,0,0,7,0,29,126,0,3,0,10,5
127,6,0,0,7,0,48,203,0,3,0,9,7
128,6,0,0,2,0,47,179,0,3,0,10,7
129,6,0,0,2,0,46,184,0,3,0,10,6
130,5,0,0,10,0,7,57,0,3,0,10,5
131,6,0,0,7,0,48,203,0,3,0,9,7
132,6,0,0,13,0,59,241,0,3,0,9,5
133,6,0,0,15,0,46,188,0,3,0,9,5
134,6,0,0,8,0,55,203,0,3,0,8,5
135,6,0,0,15,0,44,179,0,3,0,9,5
136,8,0,0,1,0,36,121,0,3,0,10,6
137,7,0,0,10,0,49,155,0,3,0,8,5
138,6,0,0,1,0,30,96,0,3,0,10,7
139,8,0,0,1,0,18,79,0,3,0,11,6
140,6,0,0,2,0,20,77,0,3,0,10,5
141,7,0,0,10,0,49,155,0,3,0,8,5
142,7,0,0,1,0,38,107,0,3,0,10,6
143,8,0,0,4,0,24,99,0,3,0,9,6
144,8,0,0,2,0,19,87,0,3,0,11,6
145,6,0,0,1,0,37,114,0,3,0,10,6
146,5,0,0,1,0,53,168,0,3,0,10,6
147,6,0,0,5,0,15,97,0,3,0,9,4
148,6,0,0,4,0,19,80,0,3,0,12,7
149,6,0,0,4,0,23,116,0,2,0,9,6
150,7,0,0,8,0,46,152,0,3,0,11,7
151,7,0,0,10,0,58,135,0,3,0,9,6
152,6,0,0,4,0,23,116,0,2,0,9,6
153,7,0,0,1,0,41,97,0,3,0,10,5
154,8,0,0,7,0,12,76,0,3,0,9,6
155,7,0,0,14,0,48,198,0,2,0,8,6
156,7,0,0,14,0,48,198,0,2,0,8,6
157,6,0,0,1,0,38,124,0,3,0,12,7
158,5,0,0,1,0,43,119,0,3,0,12,8
159,5,0,0,1,0,43,119,0,3,0,12,8
160,6,0,0,1,0,38,124,0,3,0,12,7
161,6,0,0,14,0,27,159,0,2,0,9,5
162,6,0,0,4,0,14,85,0,3,0,10,5
163,7,0,0,14,0,48,198,0,2,0,8,6
164,6,0,0,13,0,64,205,0,3,0,9,5
165,7,0,0,13,0,72,177,0,3,0,9,5
166,8,0,0,8,0,39,197,0,3,0,9,6
167,6,0,0,2,0,25,98,0,3,0,12,7
168,7,0,0,8,0,20,151,0,3,0,9,5
169,9,0,0,9,0,5,110,0,2,0,10,5
170,7,0,0,1,0,29,133,0,3,0,12,6
171,7,0,0,1,0,17,96,0,3,0,11,6
172,7,0,0,0,0,4,100,0,3,0,11,4
173,6,0,0,4,0,31,130,0,3,0,11,7
174,7,0,0,17,0,33,173,0,3,0,10,5
175,6,0,0,7,0,50,151,0,3,0,11,6
176,7,0,0,5,0,19,65,0,3,0,12,4
177,5,0,0,12,0,57,170,0,3,0,9,5
178,6,0,0,1,0,9,108,0,3,0,8,4
179,6,0,0,5,0,41,176,0,3,0,9,6
180,6,0,0,5,0,42,173,0,3,0,9,6
181,7,0,0,1,0,61,183,0,3,0,9,5
182,6,0,0,22,0,48,167,1,2,0,8,5
183,6,0,0,14,0,64,227,0,3,0,9,6
184,6,0,0,11,0,64,226,0,3,0,9,5
185,6,0,0,11,0,66,230,0,3,0,9,5
186,6,0,0,9,0,49,166,0,3,0,9,6
187,5,0,0,4,0,42,119,0,3,0,11,5
188,6,0,0,3,0,26,109,0,3,0,12,8
189,6,0,0,8,0,54,210,0,3,0,8,4
190,6,0,0,8,0,55,211,0,3,0,8,6
191,6,0,0,22,0,48,167,1,2,0,8,5
192,6,0,0,8,0,28,123,0,3,0,11,6
193,6,0,0,5,0,34,125,0,3,0,9,5
194,6,0,0,3,0,75,181,0,3,0,9,5
195,6,0,0,3,0,76,180,0,3,0,9,6
196,6,0,0,3,0,75,183,0,3,0,9,5
197,6,0,0,7,0,54,214,0,3,0,8,5
198,7,0,0,13,0,52,204,0,3,0,8,5
199,6,0,0,7,0,54,214,0,3,0,8,5
200,6,0,0,16,0,55,196,0,3,0,9,5
201,7,0,0,13,0,52,204,0,3,0,8,5
202,6,0,0,13,0,53,236,0,3,0,9,5
203,6,0,0,13,0,39,134,0,3,0,12,6
204,5,0,0,2,0,36,114,0,3,0,10,4
205,6,0,0,11,0,45,153,0,3,0,8,5
206,7,0,0,8,0,38,126,0,3,0,9,5
207,10,0,0,6,0,20,124,0,2,0,9,4
208,6,0,0,2,0,15,77,0,3,0,10,5
209,6,0,0,0,0,23,170,0,3,0,9,6
210,5,0,0,9,0,12,68,0,3,0,10,5
211,6,0,0,1,0,35,111,0,3,0,11,7
212,7,0,0,8,0,38,126,0,3,0,9,5
213,6,0,0,5,0,31,122,0,3,0,9,6
214,6,0,0,1,0,35,105,0,3,0,11,7
215,5,0,0,9,0,55,152,0,3,0,9,5
216,7,0,0,7,0,45,164,0,3,0,11,5
217,5,0,0,9,0,55,152,0,3,0,9,5
218,5,0,0,17,0,60,167,0,3,0,9,5
219,7,0,0,7,0,43,161,0,3,0,11,5
220,7,0,0,7,0,45,164,0,3,0,11,5
221,7,0,0,9,0,33,172,0,3,0,9,6
222,6,0,0,1,0,35,105,0,3,0,11,7
223,6,0,0,0,0,33,144,0,3,0,9,6
224,6,0,0,1,0,31,140,0,3,0,10,6
225,7,0,0,17,0,39,145,0,3,0,8,5
226,6,0,0,2,0,41,200,0,3,0,9,6
227,7,0,0,10,0,66,272,0,3,0,9,6
228,6,0,0,2,0,41,200,0,3,0,9,6
229,7,0,0,17,0,39,145,0,3,0,8,5
230,6,0,0,9,0,26,142,0,3,0,8,4
231,8,0,0,7,0,38,194,0,3,0,9,6
232,8,0,0,7,0,49,208,0,3,0,9,6
233,7,0,0,14,0,55,194,0,3,0,9,6
234,7,0,0,14,0,55,194,0,3,0,9,6
235,7,0,0,14,0,55,194,0,3,0,9,6
236,7,0,0,14,0,55,194,0,3,0,9,6
237,6,0,0,13,0,54,221,0,3,0,9,6
238,7,0,0,1,0,40,120,0,3,0,11,7
239,6,0,0,15,0,28,159,0,3,0,9,6
240,7,0,0,13,0,49,197,0,3,0,8,5
241,7,0,0,7,0,23,90,0,3,0,10,5
242,7,0,0,2,0,23,100,0,3,0,11,7
243,6,0,0,2,0,64,218,0,3,0,9,6
244,6,0,0,11,0,40,142,0,3,0,8,5
245,6,0,0,2,0,20,249,0,3,0,11,6
246,6,0,0,2,0,26,139,0,3,0,12,7
247,5,0,0,1,0,12,77,0,3,0,10,7
248,5,0,0,1,0,12,76,0,3,0,10,7
249,6,0,0,10,0,18,119,0,3,0,10,5
250,5,0,0,4,0,40,199,0,3,0,10,4
251,8,0,0,16,0,41,197,0,3,0,9,3
252,6,0,0,11,0,40,142,0,3,0,8,5
253,5,0,0,3,0,5,109,0,3,0,11,3
254,5,0,0,1,0,37,158,0,3,0,9,6
255,6,0,0,1,0,45,147,0,3,0,9,8
256,6,0,0,5,0,8,97,0,3,0,11,7
257,6,0,0,5,0,8,97,0,3,0,11,7
258,6,0,0,1,0,23,118,0,3,0,11,6
259,5,0,0,0,0,3,75,0,3,0,11,4
260,6,0,0,5,0,36,108,0,3,0,10,6
261,6,0,0,19,0,36,156,0,2,0,8,5
262,6,0,0,8,0,15,95,0,3,0,10,5
263,7,0,0,13,0,66,231,0,3,0,9,6
264,6,0,0,1,0,22,167,0,3,0,10,6
265,6,0,0,19,0,36,156,0,2,0,8,5
266,6,0,0,8,0,32,180,0,3,0,9,6
267,5,0,0,6,0,34,149,0,3,0,9,5
268,5,0,0,7,0,34,145,0,3,0,9,6
269,5,0,0,7,0,36,147,0,3,0,9,6
270,6,0,0,8,0,32,180,0,3,0,9,6
271,5,0,0,7,0,33,147,0,3,0,9,5
272,5,0,0,13,0,44,148,0,3,0,9,5
273,6,0,0,5,0,30,123,0,3,0,9,5
274,7,0,0,10,0,59,234,0,3,0,9,5
275,6,0,0,8,0,51,169,0,3,0,9,6
276,6,0,0,9,0,50,166,0,3,0,9,6
277,7,0,0,1,0,9,60,0,2,0,10,5
278,6,0,0,1,0,14,67,0,3,0,10,4
279,7,0,0,4,0,17,105,0,3,0,12,7
280,7,0,0,2,0,22,112,0,3,0,12,8
281,6,0,0,5,0,36,114,0,3,0,12,8
282,6,0,0,5,0,46,201,0,3,0,10,4
283,6,0,0,15,0,51,196,0,3,0,9,5
284,7,0,0,15,0,46,198,0,3,0,8,5
285,7,0,0,7,0,47,180,0,3,0,8,5
286,6,0,0,15,0,51,190,0,3,0,9,6
287,7,0,0,14,0,49,192,0,2,0,9,7
288,7,0,0,14,0,49,192,0,2,0,9,7
289,7,0,0,14,0,49,192,0,2,0,9,7
290,7,0,0,14,0,49,192,0,2,0,9,7
291,5,0,0,5,0,53,155,0,3,0,10,6
292,7,0,0,19,0,53,195,1,2,0,9,5
293,6,0,0,7,0,26,157,0,3,0,9,7
294,9,0,0,1,0,34,182,0,3,0,8,3
295,6,0,0,1,0,34,175,0,3,0,9,6
296,8,0,0,10,0,33,169,0,3,0,9,5
297,7,0,0,3,0,82,187,0,3,0,11,7
298,7,0,0,11,0,65,146,0,3,0,10,6
299,6,0,0,2,0,27,122,0,3,0,10,6
300,6,0,0,1,0,36,87,0,3,0,10,6
301,8,0,0,0,0,12,74,0,3,0,10,6
302,6,0,0,1,0,36,87,0,3,0,10,6
303,6,0,0,1,0,42,168,0,3,0,11,6
304,7,0,0,6,0,41,163,0,3,0,9,6
305,7,0,0,6,0,41,163,0,3,0,9,6
306,7,0,0,6,0,40,163,0,3,0,9,5
307,7,0,0,6,0,41,166,0,3,0,9,6
308,6,0,0,4,0,30,134,0,3,0,10,7
309,6,0,0,4,0,36,148,0,3,0,10,6
310,6,0,0,2,0,16,100,0,3,0,11,7
311,5,0,0,8,0,35,164,0,3,0,12,8
312,7,0,0,3,0,37,149,0,3,0,10,6
313,5,0,0,6,0,51,166,0,3,0,10,6
314,5,0,0,6,0,50,167,0,3,0,10,5
315,6,0,0,1,0,42,127,0,3,0,9,6
316,6,0,0,4,0,34,134,0,3,0,10,6
317,6,0,0,7,0,36,135,0,3,0,10,5
318,5,0,0,7,0,19,133,0,3,0,11,7
319,6,0,0,3,0,10,69,0,3,0,10,6
320,6,0,0,1,0,15,65,0,3,0,10,7
321,6,0,0,7,0,36,135,0,3,0,10,5
322,6,0,0,4,0,34,134,0,3,0,10,6
323,6,0,0,9,0,35,137,0,3,0,10,6
324,8,0,0,2,0,11,207,0,3,0,11,5
325,7,0,0,5,0,131,313,0,3,0,10,5
326,7,0,0,15,0,38,216,0,2,0,10,6
327,6,0,0,6,0,37,143,0,3,0,10,6
328,6,0,0,15,0,55,195,0,3,0,9,6
329,7,0,0,1,0,33,85,0,3,0,10,5
330,6,0,0,4,0,34,101,0,3,0,12,8
331,6,0,0,4,0,37,135,0,3,0,10,5
332,6,0,0,1,0,16,91,0,3,0,11,6
333,6,0,0,9,0,30,133,0,3,0,9,5
334,5,0,0,5,0,12,80,0,3,0,10,5
335,6,0,0,1,0,16,91,0,3,0,11,6
336,6,0,0,1,0,15,105,0,3,0,11,6
337,5,0,0,12,0,55,170,0,3,0,9,6
338,5,0,0,1,0,12,139,0,3,0,10,5
339,6,0,0,1,0,49,141,0,3,0,10,7
340,7,0,0,7,0,27,153,0,3,0,9,7
341,8,0,0,1,0,17,129,0,3,0,10,6
342,6,0,0,9,0,30,140,0,3,0,9,6
343,5,0,0,3,0,46,144,0,3,0,10,5
344,5,0,0,3,0,47,145,0,3,0,10,6
345,7,0,0,4,0,33,131,0,3,0,9,6
346,5,0,0,1,0,20,68,0,3,0,11,7
347,6,0,0,15,0,75,155,0,3,0,8,6
348,7,0,0,13,0,38,118,0,3,0,10,6
349,7,0,0,11,0,56,137,0,3,0,10,5
350,6,0,0,2,0,47,146,0,3,0,11,7
351,7,0,0,6,0,32,138,0,3,0,11,7
352,5,0,0,2,0,27,128,0,3,0,9,6
353,7,0,0,6,0,32,138,0,3,0,11,7
354,5,0,0,4,0,38,245,0,3,0,9,6
355,7,0,0,14,0,48,191,0,2,0,9,6
356,7,0,0,14,0,48,191,0,2,0,9,6
357,6,0,0,1,0,24,169,0,3,0,9,6
358,10,0,0,1,0,19,152,0,3,0,10,6
359,6,0,0,4,0,43,161,0,3,0,10,6
360,6,0,0,14,0,54,162,0,3,0,10,6
361,7,0,0,1,0,24,84,0,3,0,8,5
362,6,0,0,5,0,40,127,0,3,0,9,6
363,7,0,0,14,0,48,191,0,2,0,9,6
364,6,0,0,2,0,18,102,0,3,0,11,7
365,6,0,0,3,0,29,113,0,3,0,12,7
366,6,0,0,1,0,40,143,0,3,0,10,6
367,6,0,0,1,0,39,148,0,3,0,9,6
368,7,0,0,2,0,36,178,0,3,0,10,6
369,7,0,0,12,0,26,72,0,3,0,11,5
370,6,0,0,1,0,39,148,0,3,0,9,6
371,7,0,0,2,0,36,178,0,3,0,10,6
372,6,0,0,0,0,17,204,0,3,0,10,5
373,7,0,0,2,0,30,149,0,3,0,9,6
374,5,0,0,1,0,18,89,0,3,0,12,7
375,5,0,0,1,0,18,89,0,3,0,12,7
376,6,0,0,1,0,12,119,0,3,0,10,7
377,7,0,0,1,0,21,98,0,3,0,10,7
378,5,0,0,2,0,17,155,0,3,0,10,6
379,6,0,0,1,0,12,119,0,3,0,10,7
380,7,0,0,1,0,21,98,0,3,0,10,7
381,7,0,0,12,0,48,179,0,3,0,9,6
382,7,0,0,9,0,26,157,0,3,0,9,6
383,7,0,0,2,0,30,149,0,3,0,9,6
384,6,0,0,3,0,20,125,0,3,0,11,7
385,5,0,0,1,0,18,89,0,3,0,12,7
386,5,0,0,1,0,24,115,0,3,0,10,7
387,6,0,0,5,0,82,260,0,3,0,10,5
388,6,0,0,5,0,29,140,0,3,0,9,6
389,7,0,0,14,0,60,181,0,3,0,9,7
390,7,0,0,14,0,60,181,0,3,0,9,7
391,6,0,0,1,0,13,66,0,3,0,10,5
392,6,0,0,9,0,19,125,0,3,0,10,6
393,7,0,0,2,0,20,69,0,3,0,12,6
394,6,0,0,11,0,62,163,0,3,0,8,5
395,6,0,0,1,0,87,168,0,3,0,10,5
396,8,0,0,1,0,30,93,0,3,0,11,5
397,6,0,0,1,0,35,107,0,3,0,11,6
398,5,0,0,18,0,52,168,0,3,0,9,5
399,6,0,0,2,0,32,83,0,3,0,11,6
400,6,0,0,1,0,35,107,0,3,0,11,6
401,6,0,0,11,0,62,163,0,3,0,8,5
402,6,0,0,1,0,22,108,0,3,0,9,5
403,7,0,0,18,0,55,252,1,3,0,8,5
404,6,0,0,6,0,33,170,0,3,0,12,6
405,6,0,0,1,0,87,168,0,3,0,10,5
406,5,0,0,4,0,40,99,0,3,0,12,7
407,6,0,0,1,0,13,125,0,3,0,9,5
408,6,0,0,1,0,26,116,0,3,0,10,6
409,8,0,0,1,0,30,93,0,3,0,11,5
410,7,0,0,18,0,42,155,0,2,0,9,6
411,7,0,0,12,0,38,140,0,3,0,9,6
412,7,0,0,1,0,32,85,0,3,0,10,5
413,7,0,0,1,0,32,85,0,3,0,10,5
414,7,0,0,18,0,42,155,0,2,0,9,6
415,7,0,0,12,0,38,140,0,3,0,9,6
416,7,0,0,1,0,27,99,0,3,0,9,6
417,6,0,0,7,0,57,210,0,3,0,9,5
418,7,0,0,1,0,27,99,0,3,0,9,6
419,7,0,0,1,0,33,137,0,3,0,10,6
420,7,0,0,2,0,41,136,0,3,0,12,7
421,7,0,0,8,0,37,222,0,3,0,10,6
422,7,0,0,8,0,37,221,0,3,0,10,6
423,7,0,0,8,0,37,221,0,3,0,10,6
424,6,0,0,8,0,47,162,0,3,0,10,7
425,7,0,0,8,0,37,222,0,3,0,10,6
426,7,0,0,8,0,37,221,0,3,0,10,6
427,6,0,0,13,0,48,194,0,3,0,9,5
428,7,0,0,1,0,20,89,0,3,0,9,5
429,7,0,0,13,0,54,197,0,3,0,9,5
430,6,0,0,13,0,48,194,0,3,0,9,5
431,6,0,0,1,0,19,84,0,3,0,9,5
432,7,0,0,2,0,73,214,0,3,0,9,7
433,7,0,0,1,0,16,151,0,3,0,9,4
434,7,0,0,7,0,31,104,0,3,0,12,8
435,6,0,0,6,0,24,97,0,3,0,12,7
436,6,0,0,2,0,23,218,0,3,0,9,5
437,6,0,0,1,0,49,186,0,3,0,12,8
438,7,0,0,2,0,73,214,0,3,0,9,7
439,6,0,0,1,0,23,108,0,3,0,9,5
440,6,0,0,1,0,24,102,0,3,0,11,7
441,6,0,0,6,0,25,137,0,3,0,10,6
442,6,0,0,2,0,54,126,0,3,0,12,8
443,6,0,0,12,0,54,245,0,3,0,9,6
444,6,0,0,20,0,40,139,0,3,0,11,6
445,7,0,0,11,0,16,66,0,3,0,11,3
446,5,0,0,2,0,30,156,0,3,0,12,5
447,6,0,0,14,0,24,113,0,3,0,9,6
448,6,0,0,14,0,24,113,0,3,0,9,6
449,6,0,0,1,0,34,127,0,3,0,10,7
450,7,0,0,9,0,21,174,0,3,0,9,5
451,6,0,0,1,0,34,128,0,3,0,10,5
452,5,0,0,2,0,27,160,0,3,0,10,7
453,6,0,0,1,0,32,113,0,3,0,10,7
454,6,0,0,1,0,34,127,0,3,0,10,7
455,6,0,0,14,0,24,113,0,3,0,9,6
456,6,0,0,1,0,11,82,0,3,0,12,7
457,7,0,0,8,0,26,111,0,2,0,9,5
458,6,0,0,1,0,31,218,0,3,0,9,6
459,6,0,0,9,0,83,249,0,3,0,8,5
460,7,0,0,8,0,26,111,0,2,0,9,5
461,7,0,0,15,0,40,171,0,3,0,9,5
462,5,0,0,12,0,50,162,0,3,0,9,5
463,6,0,0,2,0,15,68,0,3,0,9,6
464,7,0,0,11,0,66,178,0,3,0,8,5
465,6,0,0,10,0,34,126,0,2,0,8,5
466,7,0,0,9,0,54,141,0,3,0,9,6
467,6,0,0,2,0,15,68,0,3,0,9,6
468,7,0,0,11,0,66,178,0,3,0,8,5
469,7,0,0,18,0,59,182,0,3,0,9,5
470,8,0,0,12,0,21,158,0,3,0,9,6
471,6,0,0,3,0,34,200,0,3,0,10,5
472,6,0,0,2,0,19,86,0,3,0,12,6
473,7,0,0,4,0,34,132,0,3,0,9,7
474,5,0,0,4,0,30,102,0,3,0,9,6
475,7,0,0,11,0,55,227,0,3,0,9,5
476,7,0,0,1,0,42,105,0,2,0,12,7
477,7,0,0,1,0,29,115,0,3,0,10,6
